A;7.96;7.68;5.52;8.99;9.49
B;1.60;0.80;1.56;1.86;1.90
C;2.84;3.32;2.94;3.04;3.45
D;4.01;3.60;4.91;4.14;4.09
E;12.86;17.76;19.18;10.13;9.16
F;2.62;1.06;1.96;0.33;0.31
G;1.99;1.10;3.60;0.48;0.40
H;5.39;0.64;5.02;2.06;2.35
I;7.77;7.23;8.21;6.92;6.81
J;0.16;0.19;0.16;2.10;2.12
K;0.41;0.00;1.33;3.44;3.80
L;3.51;5.89;3.48;4.20;4.56
M;2.43;2.72;1.69;2.99;2.97
N;7.51;7.61;10.20;6.64;6.34
O;6.62;5.34;2.14;8.39;9.34
P;1.81;3.24;0.54;3.54;2.87
Q;0.17;1.34;0.01;0.00;0.00
R;6.83;6.81;7.01;5.33;5.12
S;6.62;8.23;7.07;5.74;5.94
T;9.72;7.30;5.86;4.98;5.06
U;2.48;6.05;4.22;3.94;3.70
V;1.15;1.27;0.84;4.50;4.85
W;1.80;0.00;1.38;0.06;0.06
X;0.17;0.54;0.00;0.04;0.03
Y;1.52;0.21;0.00;2.72;2.57
Z;0.05;0.07;1.17;3.44;2.72